market_id,question,end_date,prob_market,prob_model,edge,kelly_fraction,direction,spread,liquidity,source
540819,Will Jesus Christ return before GTA VI?,2026-07-31 12:00:00+00:00,0.485,0.0909,-0.3941,0.0,BUY NO,0.01,857424.9903,calibration_model
540844,Will bitcoin hit $1m before GTA VI?,2026-07-31 12:00:00+00:00,0.4855,0.0982,-0.3873,0.0,BUY NO,0.001,413322.82077,calibration_model
540818,New Playboi Carti Album before GTA VI?,2026-07-31 12:00:00+00:00,0.59,0.9677,0.3777,0.4606,BUY YES,0.02,22990.0138,calibration_model
540817,New Rihanna Album before GTA VI?,2026-07-31 12:00:00+00:00,0.61,0.969,0.359,0.4602,BUY YES,0.02,31187.5411,calibration_model
540843,Will China invades Taiwan before GTA VI?,2026-07-31 12:00:00+00:00,0.515,0.3372,-0.1778,0.0,BUY NO,0.01,98799.702,calibration_model
540820,Trump out as President before GTA VI?,2026-07-31 12:00:00+00:00,0.525,0.363,-0.162,0.0,BUY NO,0.01,55078.3687,calibration_model
556108,Will MegaETH perform an airdrop by June 30? ,2026-02-01 05:00:00+00:00,0.5335,0.6875,0.154,0.1651,BUY YES,0.009,12556.76963,calibration_model
563650,"SCOTUS accepts sports event contract case by July 31, 2026?     ",2026-07-31 00:00:00+00:00,0.125,0.0,-0.125,0.0,BUY NO,0.01,6999.5105,calibration_model
560317,"Putin out as President of Russia by December 31, 2026?",2026-12-31 18:30:00+00:00,0.105,0.0,-0.105,0.0,BUY NO,0.01,339730.0121,calibration_model
556062,MegaETH market cap (FDV) >$2B one day after launch?,2025-12-31 00:00:00+00:00,0.095,0.0,-0.095,0.0,BUY NO,0.01,92714.9352,calibration_model
559651,Xi Jinping out before 2027?,2026-12-31 00:00:00+00:00,0.0775,0.0,-0.0775,0.0,BUY NO,0.001,301325.47582,calibration_model
