market_id,token_id_yes,question,end_date,direction,prob_market,prob_model,edge,kelly,confidence,size_usd,price_paid,source_model,prob_external,source_external,opened_at,status,outcome,pnl,resolved_at
597967,34554555827438551101000555305203609600029621153428996114009350892614396532498,"Starmer out by June 30, 2026?",2026-06-30 12:00:00+00:00,BUY YES,0.315,0.5932,0.2782,0.1,MEDIUM,250.0,0.315,calibration_rf,,,2026-06-17T07:09:15.616524+00:00,RESOLVED,1,543.65,2026-06-22T11:33:40.664992+00:00
648378,99856222210824511753934292062029650226077573071941153542799123525263447880769,Billionaire one-time wealth tax on California ballot?,2026-06-25 00:00:00+00:00,BUY YES,0.615,0.7933,0.1783,0.1,MEDIUM,246.38,0.615,calibration_rf,,,2026-06-12T05:12:50.292542+00:00,RESOLVED,1,154.24,2026-06-26T09:56:40.715545+00:00
2839715,90601663349909102079771951019106483902807931072682044978776700184181948801185,Will Anthropic extend Claude Fable 5 paid-plan access again by July 12?,2026-07-12 23:59:00+00:00,BUY YES,0.255,0.5268,0.2718,0.1,MEDIUM,250.0,0.255,calibration_rf,,,2026-07-12T11:04:23.890746+00:00,RESOLVED,1,730.39,2026-07-12T20:12:43.369551+00:00
2643405,53090343757936832119594668014060056498001792741030341017017660687678920951519,Will the US announce a blockade on Iran by July 31?,2026-07-31 23:59:00+00:00,BUY YES,0.325,0.6223,0.2973,0.1,MEDIUM,250.0,0.325,calibration_rf,,,2026-07-12T14:01:01.881842+00:00,RESOLVED,1,519.23,2026-07-13T18:15:40.187874+00:00
2821347,29040013873321118547094990351628125504347683098965211496259294609236685438688,Will the US announce a blockade on Iran by August 31?,2026-08-31 23:59:00+00:00,BUY YES,0.415,0.6037,0.1887,0.1,MEDIUM,238.52,0.415,calibration_rf,,,2026-07-12T14:01:01.884005+00:00,RESOLVED,1,336.23,2026-07-13T18:15:40.906050+00:00
2901833,11587607536228840290416461191888683301516288209806198366242169844687131692668,"Will Ethereum dip to $1,750 on July 13?",2026-07-14 04:00:00+00:00,BUY NO,0.825,0.5434,-0.2816,0.1,MEDIUM,250.0,0.175,calibration_rf,,,2026-07-13T18:15:42.677326+00:00,RESOLVED,0,1178.57,2026-07-14T04:22:10.581091+00:00
2880275,19135173168632231798604448839275169825236203099052305345847312181486048715132,Spread: France (-1.5),2026-07-14 19:00:00+00:00,BUY YES,0.205,0.4483,0.2433,0.1,MEDIUM,250.0,0.205,calibration_rf,,,2026-07-12T09:42:46.903846+00:00,RESOLVED,0,-250.0,2026-07-14T21:28:27.853771+00:00
2880287,56086268628889124557250914532536112313643119412803301998657015039799775065029,France vs. Spain: O/U 2.5,2026-07-14 19:00:00+00:00,BUY YES,0.515,0.7187,0.2037,0.1,MEDIUM,250.0,0.515,calibration_rf,,,2026-07-12T12:12:43.271305+00:00,RESOLVED,0,-250.0,2026-07-14T21:28:32.224859+00:00
2880288,18420609569005427649925910125201571706791650759316179090937047530222999202321,France vs. Spain: O/U 3.5,2026-07-14 19:00:00+00:00,BUY YES,0.2938,0.5438,0.25,0.1,MEDIUM,87.34,0.2938,calibration_rf,,,2026-07-13T18:15:42.682014+00:00,RESOLVED,0,-87.34,2026-07-14T21:28:36.045430+00:00
2891653,9672673949409772687752072662946310519015132525500329010995933525175067118138,Spread: England (-1.5),2026-07-15 19:00:00+00:00,BUY YES,0.165,0.385,0.22,0.1,MEDIUM,250.0,0.165,calibration_rf,,,2026-07-12T20:12:48.399503+00:00,RESOLVED,0,-250.0,2026-07-15T21:27:53.663367+00:00
2891666,74527418458582480822261620327325996776349884696568477779653950974404498632202,England vs. Argentina: O/U 3.5,2026-07-15 19:00:00+00:00,BUY YES,0.2188,0.4983,0.2795,0.1,MEDIUM,250.0,0.2188,calibration_rf,,,2026-07-14T04:22:12.522831+00:00,RESOLVED,0,-250.0,2026-07-15T22:28:10.883191+00:00
2845814,16742657278435100074275601759254269516929361354023542559843857406004622328860,Over $40M committed to the Credible public sale?,2026-08-31 23:59:00+00:00,BUY YES,0.235,0.5107,0.2757,0.1,MEDIUM,250.0,0.235,calibration_rf,,,2026-07-12T07:39:33.103364+00:00,RESOLVED,0,-250.0,2026-07-17T19:38:21.013103+00:00
2851422,40346301504959260673994506715683563690918302533479485952427690103733332353696,Iran military action against a Gulf State on July 17?,2026-07-17 23:59:00+00:00,BUY YES,0.19,0.4872,0.2972,0.1,MEDIUM,250.0,0.19,calibration_rf,,,2026-07-12T11:04:23.888399+00:00,RESOLVED,1,1065.79,2026-07-18T01:24:51.073355+00:00
2942101,107315532298789701436237363960672430085793514173994076548684716531610645605062,Spread: France (-1.5),2026-07-18 21:00:00+00:00,BUY YES,0.295,0.5507,0.2557,0.1,MEDIUM,250.0,0.295,calibration_rf,,,2026-07-18T01:24:59.265818+00:00,RESOLVED,0,-250.0,2026-07-18T23:42:22.929940+00:00
2380751,104875439705027288073723941656024388046076949945630266522248190137335785546298,Will Michael Olise score a goal at the 2026 FIFA World Cup?,2026-07-20 00:00:00+00:00,BUY YES,0.37,0.625,0.255,0.1,MEDIUM,250.0,0.37,calibration_rf,,,2026-07-13T18:15:42.680904+00:00,RESOLVED,0,-250.0,2026-07-19T01:31:45.936888+00:00
2851423,44023908313028429860206737774541001005536901634200148326714737620765736943472,Iran military action against a Gulf State on July 18?,2026-07-18 23:59:00+00:00,BUY YES,0.215,0.4941,0.2791,0.1,MEDIUM,250.0,0.215,calibration_rf,,,2026-07-12T07:39:33.102188+00:00,RESOLVED,1,912.79,2026-07-19T09:26:54.035924+00:00
